SCIENTIFIC NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
Pyrocephalus rubinus,-18.7993931,-48.1434202,2005-09-02
Pyrocephalus rubinus,-17.2968876,-44.9093628,2009-02-18
Pyrocephalus rubinus,-18.9086819,-48.2311606,2009-06-08
Pyrocephalus rubinus,-19.3539,-43.6075,2009-06-22
Pyrocephalus rubinus,-19.6290469,-47.0141673,2009-06-05
Pyrocephalus rubinus,-20.2506019,-46.4955139,2009-10-11
Pyrocephalus rubinus,-19.6290469,-47.0141673,2010-05-31
Pyrocephalus rubinus,-19.6234889,-47.0116889,2012-05-28
Pyrocephalus rubinus,-20.4487283,-44.763236,2013-04-28
Pyrocephalus rubinus,-19.8547073,-43.9962745,2013-07-11
Pyrocephalus rubinus,-19.7874565,-43.867969,2013-08-11
Pyrocephalus rubinus,-20.0583903,-47.9039311,2013-09-10
Pyrocephalus rubinus,-18.5328396,-47.8556299,2013-09-13
Pyrocephalus rubinus,-19.8604656,-43.9969568,2014-05-18
Pyrocephalus rubinus,-16.0488654,-46.2077665,2015-01-01
Pyrocephalus rubinus,-18.8711232,-46.9882679,2015-05-09
Pyrocephalus rubinus,-18.8628185,-46.8500161,2015-05-09
Pyrocephalus rubinus,-21.18511,-45.25663,2015-05-30
Pyrocephalus rubinus,-19.467424,-42.5413209,2015-06-24
Pyrocephalus rubinus,-21.18511,-45.25663,2015-07-11
Pyrocephalus rubinus,-19.855203,-43.996057,2015-08-13
Pyrocephalus rubinus,-19.2028895,-44.9535656,2015-08-08
Pyrocephalus rubinus,-19.8526232,-43.978765,2015-08-16
Pyrocephalus rubinus,-18.95029,-48.206303,2015-08-13
Pyrocephalus rubinus,-21.18511,-45.25663,2015-09-06
Pyrocephalus rubinus,-18.9829218,-49.4715858,2016-04-10
Pyrocephalus rubinus,-21.18511,-45.25663,2016-06-25
Pyrocephalus rubinus,-19.8740804,-43.9720384,2016-06-04
Pyrocephalus rubinus,-21.215,-46.5624,2016-06-30
Pyrocephalus rubinus,-19.2276702,-45.0185394,2016-06-12
Pyrocephalus rubinus,-20.6623557,-43.7848066,2016-06-30
Pyrocephalus rubinus,-17.3987086,-45.0178957,2016-07-04
Pyrocephalus rubinus,-22.312602,-46.3285625,2016-07-22
Pyrocephalus rubinus,-19.8003516,-47.9452915,2016-07-11
Pyrocephalus rubinus,-21.18511,-45.25663,2016-07-10
Pyrocephalus rubinus,-19.8003516,-47.9452915,2016-07-06
Pyrocephalus rubinus,-19.8003516,-47.9452915,2016-07-06
Pyrocephalus rubinus,-19.8003516,-47.9452915,2016-07-12
Pyrocephalus rubinus,-18.9086819,-48.2311606,2016-07-16
Pyrocephalus rubinus,-17.0584807,-46.0944271,2016-08-21
Pyrocephalus rubinus,-21.692673,-45.8981591,2016-09-07
Pyrocephalus rubinus,-20.9127868,-45.2803086,2016-09-11
Pyrocephalus rubinus,-21.215,-46.5624,2016-11-20
Pyrocephalus rubinus,-19.2276702,-45.0185394,2017-05-06
Pyrocephalus rubinus,-16.0729498,-46.2098265,2017-05-13
Pyrocephalus rubinus,-22.1218279,-45.9155963,2017-05-21
Pyrocephalus rubinus,-20.0858607,-45.281353,2017-06-04
Pyrocephalus rubinus,-19.8526232,-43.978765,2017-07-25
Pyrocephalus rubinus,-19.8547092,-43.9700676,2017-08-13
Pyrocephalus rubinus,-21.1964785,-45.0513936,2017-08-31
Pyrocephalus rubinus,-19.8518424,-43.973535,2017-08-26
Pyrocephalus rubinus,-21.3625554,-46.93777,2017-09-02
Pyrocephalus rubinus,-19.8526232,-43.978765,2017-09-01
Pyrocephalus rubinus,-19.853078,-43.993496,2017-10-28
Pyrocephalus rubinus,-18.9086819,-48.2311606,2018-02-04
Pyrocephalus rubinus,-21.3625748,-46.9377431,2018-03-03
Pyrocephalus rubinus,-21.3625748,-46.9377431,2018-03-03
